Sample_ID,PDX_ID,DLP+_jira_ticket,Library ID_DLP+,Results_DLP,DLP_analysis
SA919X7XB05402,X0847-2112251,SC-1751,A96200A,TRUE,TRUE
SA919X7XB05691,X0847-2112251,SC-1546,A96204B,TRUE,TRUE
SA919X7XB05692,X0847-2112251,SC-1547,A96229A,TRUE,TRUE
SA919X7XB05378,X0847-2112252,SC-2074,A96117B,TRUE,TRUE
SA919X7XB05604,X0847-2112252,SC-2075,A96117A,TRUE,TRUE
SA919X7XB05298,X0847-2112253,SC-2661,A98300B,TRUE,TRUE
SA919X7XB05298,X0847-2112253,SC-2622,A98236B,"FALSE, no analysis found, ignore",FALSE
SA919X7XB05588,X0847-2112253,SC-2678,A98290A,"TRUE, have filtered data, ok",TRUE
SA919X7XB05588,X0847-2112253,SC-2679,A98299A,"TRUE, have filtered data, ok",TRUE
SA919X7XB05289,X0847-2112254,SC-2633,A98181B,"Analysis ticket: None for A98181B and A98181A, hakwoo: For A98181B, it should be A98181A (A98181B was pooled with A98181A).
And for A98181A, there is 2 samples and my sample is condition B. double check again",FALSE
SA919X7XB05608,X0847-2112254,SC-2714,A98293A,"CHECK Have data, filtered output empty,",TRUE
SA919X3XB08939,X0847-216,SC-2886,A98232B,TRUE,TRUE
SA919X3XB08939,X0847-216,SC-2928,A98306A,TRUE,TRUE
SA919X4XB09563,X0847-2164,SC-2887,A98261B,TRUE,TRUE
SA919X4XB40503,X0847-2164,SC-3202,A98217B,TRUE,TRUE
SA919X4XB40509,X0847-2164,SC-3200,A98217A,TRUE,TRUE
